clip,source,label_4class,label_binary,prompt_id,gend_fake_score,pred_label,n_frames
ltx_p02_001,ltx23,ltx23,1,p02,0.343,Real,1
ltx_p03_001,ltx23,ltx23,1,p03,0.7546,Fake,16
ltx_p07_001,ltx23,ltx23,1,p07,0.8186,Fake,16
ltx_p07_002,ltx23,ltx23,1,p07,0.7561,Fake,16
ltx_p08_001,ltx23,ltx23,1,p08,0.7055,Fake,16
ltx_p11_001,ltx23,ltx23,1,p11,0.7137,Fake,16
ltx_p13_001,ltx23,ltx23,1,p13,0.5563,Fake,1
ltx_p15_001,ltx23,ltx23,1,p15,0.4061,Real,16
ltx_p16_001,ltx23,ltx23,1,p16,0.6334,Fake,16
ltx_p17_001,ltx23,ltx23,1,p17,0.8261,Fake,16
ltx_p18_001,ltx23,ltx23,1,p18,0.8456,Fake,16
ltx_p19_001,ltx23,ltx23,1,p19,0.7332,Fake,7
ltx_p20_001,ltx23,ltx23,1,p20,0.7688,Fake,16
ltx_p21_001,ltx23,ltx23,1,p21,0.3123,Real,16
ltx_p25_001,ltx23,ltx23,1,p25,0.7507,Fake,16
ltx_p26_001,ltx23,ltx23,1,p26,0.2009,Real,16
ltx_p27_001,ltx23,ltx23,1,p27,0.8444,Fake,16
ltx_p28_001,ltx23,ltx23,1,p28,0.8363,Fake,16
ltx_p29_001,ltx23,ltx23,1,p29,0.4422,Real,16
ltx_p30_001,ltx23,ltx23,1,p30,0.7221,Fake,16
ltx_p31_001,ltx23,ltx23,1,p31,0.1932,Real,16
ltx_p32_001,ltx23,ltx23,1,p32,0.3848,Real,16
ltx_p33_001,ltx23,ltx23,1,p33,0.1096,Real,16
ltx_p34_001,ltx23,ltx23,1,p34,0.2301,Real,16
ltx_p35_001,ltx23,ltx23,1,p35,0.6881,Fake,16
omniflash_p02_001,omniflash,omniflash,1,p02,0.1428,Real,2
omniflash_p03_001,omniflash,omniflash,1,p03,0.4587,Real,16
omniflash_p04_001,omniflash,omniflash,1,p04,0.3742,Real,1
omniflash_p05_001,omniflash,omniflash,1,p05,0.7259,Fake,6
omniflash_p06_001,omniflash,omniflash,1,p06,0.4934,Real,1
omniflash_p07_001,omniflash,omniflash,1,p07,0.8102,Fake,16
omniflash_p08_001,omniflash,omniflash,1,p08,0.3867,Real,16
omniflash_p11_001,omniflash,omniflash,1,p11,0.263,Real,16
omniflash_p13_001,omniflash,omniflash,1,p13,0.6751,Fake,13
omniflash_p13_002,omniflash,omniflash,1,p13,0.5956,Fake,16
omniflash_p15_001,omniflash,omniflash,1,p15,0.2115,Real,16
omniflash_p15_002,omniflash,omniflash,1,p15,0.3215,Real,16
omniflash_p18_001,omniflash,omniflash,1,p18,0.2026,Real,8
omniflash_p19_001,omniflash,omniflash,1,p19,0.4292,Real,16
omniflash_p20_001,omniflash,omniflash,1,p20,0.3971,Real,16
omniflash_p22_001,omniflash,omniflash,1,p22,0.4768,Real,16
omniflash_p23_001,omniflash,omniflash,1,p23,0.489,Real,16
omniflash_p25_001,omniflash,omniflash,1,p25,0.8334,Fake,16
omniflash_p26_001,omniflash,omniflash,1,p26,0.0755,Real,16
omniflash_p27_001,omniflash,omniflash,1,p27,0.4585,Real,16
omniflash_p28_001,omniflash,omniflash,1,p28,0.6498,Fake,16
omniflash_p29_001,omniflash,omniflash,1,p29,0.5807,Fake,16
omniflash_p30_001,omniflash,omniflash,1,p30,0.7197,Fake,16
omniflash_p31_001,omniflash,omniflash,1,p31,0.1146,Real,16
omniflash_p32_001,omniflash,omniflash,1,p32,0.3088,Real,16
omniflash_p33_001,omniflash,omniflash,1,p33,0.1408,Real,16
omniflash_p34_001,omniflash,omniflash,1,p34,0.1235,Real,16
omniflash_p35_001,omniflash,omniflash,1,p35,0.5086,Fake,16
real_p03_001,real,real,0,p03,0.8105,Fake,5
real_p06_002,real,real,0,p06,0.8214,Fake,16
real_p07_001,real,real,0,p07,0.8183,Fake,5
real_p11_001,real,real,0,p11,0.4081,Real,16
real_p11_002,real,real,0,p11,0.6301,Fake,16
real_p11_003,real,real,0,p11,0.491,Real,16
real_p13_001,real,real,0,p13,0.6875,Fake,16
real_p13_002,real,real,0,p13,0.5902,Fake,2
real_p14_001,real,real,0,p14,0.2229,Real,1
real_p15_001,real,real,0,p15,0.5492,Fake,16
real_p15_002,real,real,0,p15,0.4816,Real,16
real_p16_001,real,real,0,p16,0.6097,Fake,2
real_p17_001,real,real,0,p17,0.8651,Fake,16
real_p18_001,real,real,0,p18,0.6043,Fake,16
