prompt_id,name,prompt_text,prompt_ready
p01,espresso_pull,"A close-up of a barista's hands pulling an espresso shot, steam rising, crema forming in a glass cup, warm morning light through a cafe window, shallow depth of field.","Generate a video, as realistic as possible, of a barista's hands pulling an espresso shot in close-up, steam rising, crema forming in a glass cup, warm morning light through a cafe window, shallow depth of field. No voices or speech."
p02,dog_shake,"A golden retriever shaking off water in slow motion after jumping out of a lake, droplets scattering, overcast daylight, side-tracking camera.","Generate a video, as realistic as possible, of a golden retriever shaking off water in slow motion after jumping out of a lake, droplets scattering, overcast daylight, side-tracking camera. No voices or speech."
p03,tokyo_crossing,"A busy Tokyo street crossing at night, dense crowd walking in all directions, neon signage and storefront text reflecting on wet pavement, handheld camera.","Generate a video, as realistic as possible, of a busy Tokyo street crossing at night, dense crowd walking in all directions, neon signage and storefront text reflecting on wet pavement, handheld camera. No voices or speech."
p04,potters_wheel,"A potter's wheel spinning, two hands shaping wet clay into a vase, rhythmic motion, soft studio lighting, overhead angle.","Generate a video, as realistic as possible, of a potter's wheel spinning, two hands shaping wet clay into a vase, rhythmic motion, soft studio lighting, overhead angle. No voices or speech."
p05,wave_rocks,"A wave crashing against rocks on a rugged coastline, foam and spray detail, late-afternoon sun, drone slowly pulling back to reveal the cliffs.","Generate a video, as realistic as possible, of a wave crashing against rocks on a rugged coastline, foam and spray detail, late-afternoon sun, drone slowly pulling back to reveal the cliffs. No voices or speech."
p06,chef_chopping,"A chef chopping vegetables quickly on a wooden board, knife motion, ingredients scattering, bright kitchen, locked-off close-up.","Generate a video, as realistic as possible, of a chef chopping vegetables quickly on a wooden board, knife motion, ingredients scattering, bright kitchen, locked-off close-up. No voices or speech."
p07,skater_spin,"A figure skater performing a spin on an indoor rink, arms tucking in to accelerate, ice spray, arena lighting with reflections on the ice.","Generate a video, as realistic as possible, of a figure skater performing a spin on an indoor rink, arms tucking in to accelerate, ice spray, arena lighting with reflections on the ice. No voices or speech."
p08,campfire,"A campfire at dusk in a forest, sparks rising, flames flickering, faces of two people lit by the fire, slow push-in.","Generate a video, as realistic as possible, of a campfire at dusk in a forest, sparks rising, flames flickering, faces of two people lit by the fire, slow push-in. No voices or speech."
p09,hummingbird,"A hummingbird hovering at a red flower, wings blurred, feeding, bright daylight, macro lens, static shot.","Generate a video, as realistic as possible, of a hummingbird hovering at a red flower, wings blurred, feeding, bright daylight, macro lens, static shot. No voices or speech."
p10,typewriter,"A vintage typewriter being used, fingers striking keys, the carriage returning, paper with visible printed text advancing, warm desk lamp light.","Generate a video, as realistic as possible, of a vintage typewriter being used, fingers striking keys, the carriage returning, paper with visible printed text advancing, warm desk lamp light. No voices or speech."
